,loss_decoder,loss_sindy_x,loss_sindy_z,loss_sindy_regularization,validation_losses,batch_size,latent_dim,loss_weight_sindy_x,loss_weight_sindy_z,widths,dt
0,0.018301625,10.985767,2935.4656,0.0011253386,0.031415045,128,1,0.0,0.0,[64],48.87869167327881
0,0.012647501,10.916103,6278.4575,0.0011253386,0.028719863,128,1,0.0,0.0,"[64, 32]",58.98233985900879
0,0.018735109,10.938373,479.54105,0.0011253386,0.03770847,128,1,0.0,0.0,"[64, 32, 16]",68.20094418525696
0,0.020460574,11.030848,15.739533,0.3007672,0.03790859,128,1,0.0,0.0001,[64],47.14315390586853
0,0.019381393,10.976098,3.9399097,0.1344595,0.04108871,128,1,0.0,0.0001,"[64, 32]",58.749120235443115
0,0.01666835,10.931341,6.75859,0.16829354,0.06269904,128,1,0.0,0.0001,"[64, 32, 16]",66.22764778137207
0,0.017298017,10.603437,3454.7256,1.1033949,0.034823958,128,1,0.0001,0.0,[64],48.47833871841431
0,0.01259446,10.45216,38532.848,0.2915182,0.029003741,128,1,0.0001,0.0,"[64, 32]",55.9865505695343
0,0.013307724,8.545549,27887.785,1.184821,0.039396957,128,1,0.0001,0.0,"[64, 32, 16]",68.66633129119873
0,0.020954525,10.964271,17.521017,1.0827899,0.03907911,128,1,0.0001,0.0001,[64],46.23413014411926
0,0.020718807,10.946654,7.5077667,1.1783437,0.040266633,128,1,0.0001,0.0001,"[64, 32]",60.26127338409424
0,0.10126156,10.953268,1.3644406e-08,0.00078403996,0.10194114,128,1,0.0001,0.0001,"[64, 32, 16]",70.36234450340271
0,0.00066267845,10.969473,496.5739,0.0017975102,0.0012332636,128,3,0.0,0.0,[64],55.22513127326965
0,0.0010654296,10.987897,408.5888,0.0017975102,0.01034835,128,3,0.0,0.0,"[64, 32]",68.59968900680542
0,0.0021680428,10.94233,203.52046,0.0017975102,0.03458528,128,3,0.0,0.0,"[64, 32, 16]",81.99060201644897
0,0.0016982177,1.4436791,4.752122,2.156865,0.00825181,128,3,0.0,0.0001,[64],53.82314348220825
0,0.0016024418,2.214712,1.3242127,2.826578,0.008934992,128,3,0.0,0.0001,"[64, 32]",67.2400918006897
0,0.015696088,10.963199,6.5064864,0.09714497,0.04975038,128,3,0.0,0.0001,"[64, 32, 16]",76.87800550460815
0,0.00072315417,0.8247786,77.61347,1.9401401,0.0039046763,128,3,0.0001,0.0,[64],58.613065242767334
0,0.001542691,1.4390385,95.85698,0.9974539,0.007628292,128,3,0.0001,0.0,"[64, 32]",66.85956311225891
0,0.0022003432,1.8727378,187.09831,1.1509005,0.038576532,128,3,0.0001,0.0,"[64, 32, 16]",76.04864430427551
0,0.0020429867,1.0727038,3.333821,2.3663442,0.007216454,128,3,0.0001,0.0001,[64],55.642040491104126
0,0.0018242643,0.6117438,1.6364304,3.3825707,0.031597544,128,3,0.0001,0.0001,"[64, 32]",65.68924880027771
0,0.0035490666,2.201263,1.2753356,2.6826756,0.034583945,128,3,0.0001,0.0001,"[64, 32, 16]",76.70428609848022
0,0.00075837685,11.023512,553.1269,0.0007826838,0.0015208623,128,6,0.0,0.0,[64],106.0431764125824
0,0.0012305402,10.911258,590.21063,0.0007826838,0.0047851545,128,6,0.0,0.0,"[64, 32]",122.01579880714417
0,0.0021389502,10.954275,72.420815,0.0007826838,0.029825175,128,6,0.0,0.0,"[64, 32, 16]",140.20309495925903
0,0.0020322993,1.1143254,1.6346911,0.7949084,0.0028733283,128,6,0.0,0.0001,[64],119.23458814620972
0,0.001641015,1.3896528,1.5180622,0.88115025,0.006406802,128,6,0.0,0.0001,"[64, 32]",140.72046279907227
0,0.0010494782,1.3432382,0.6269861,1.2436683,0.032055873,128,6,0.0,0.0001,"[64, 32, 16]",152.96371340751648
0,0.0022552023,0.78608423,251.63112,0.8847942,0.0014156695,128,6,0.0001,0.0,[64],122.07841610908508
0,0.0010793987,0.58273,277.01215,0.60021526,0.030989593,128,6,0.0001,0.0,"[64, 32]",135.5047414302826
0,0.0013451409,0.8353557,48.445778,0.7035652,0.0320784,128,6,0.0001,0.0,"[64, 32, 16]",152.8842008113861
0,0.0018053425,0.52362025,2.6900127,0.8627419,0.003591084,128,6,0.0001,0.0001,[64],122.08912491798401
0,0.0026733633,1.2813535,2.4867008,1.0837674,0.006655148,128,6,0.0001,0.0001,"[64, 32]",127.53110432624817
0,0.0025292563,0.8966251,0.89726907,1.4035206,0.034924492,128,6,0.0001,0.0001,"[64, 32, 16]",142.00128078460693
0,0.018744074,11.157937,12290.629,0.0011340698,0.029339783,32,1,0.0,0.0,[64],142.19549322128296
0,0.0155160045,10.867116,48154.758,0.0011340698,0.030793807,32,1,0.0,0.0,"[64, 32]",163.50239992141724
0,0.023597516,10.940996,15623.102,0.0011340698,0.034704518,32,1,0.0,0.0,"[64, 32, 16]",189.54312944412231
0,0.024450274,11.22698,22.14571,0.76791596,0.04205399,32,1,0.0,0.0001,[64],132.3752040863037
0,0.020586506,11.00341,3.1570065,0.17359537,0.038294166,32,1,0.0,0.0001,"[64, 32]",183.45315217971802
0,0.10857569,10.953268,6.64706e-09,0.00016671447,0.108487576,32,1,0.0,0.0001,"[64, 32, 16]",201.23944425582886
0,0.018477097,10.072224,14100.682,1.1857718,0.027157154,32,1,0.0001,0.0,[64],131.27660393714905
0,0.015109972,11.183953,23336.02,0.37179896,0.026583176,32,1,0.0001,0.0,"[64, 32]",161.4727520942688
0,0.021306643,10.741382,1257.9492,1.049088,0.03725736,32,1,0.0001,0.0,"[64, 32, 16]",191.08187055587769
0,0.02721567,10.9377365,11.16883,0.24861965,0.04366339,32,1,0.0001,0.0001,[64],135.41622972488403
0,0.021223301,10.892268,6.6011477,0.53742176,0.03932418,32,1,0.0001,0.0001,"[64, 32]",162.01860690116882
0,0.10857569,10.953268,4.415195e-09,0.00053662166,0.1095663,32,1,0.0001,0.0001,"[64, 32, 16]",225.94709038734436
0,0.0024841193,10.965562,917.6315,0.0006035401,0.0029417148,32,3,0.0,0.0,[64],175.67213582992554
0,0.0015902397,10.950516,448.5888,0.0006035401,0.0041603167,32,3,0.0,0.0,"[64, 32]",200.85744333267212
0,0.004155657,10.953528,278.18118,0.0006035401,0.02406891,32,3,0.0,0.0,"[64, 32, 16]",226.08672404289246
0,0.0063956385,2.5074892,30.18603,1.9805448,0.010176608,32,3,0.0,0.0001,[64],173.24190258979797
0,0.010135765,4.1138697,5.87507,3.312082,0.028382594,32,3,0.0,0.0001,"[64, 32]",203.15095686912537
0,0.017932426,11.062376,7.682934,0.34159273,0.03575179,32,3,0.0,0.0001,"[64, 32, 16]",227.08081650733948
0,0.0018542774,1.4592026,291.7635,0.94150645,0.004476589,32,3,0.0001,0.0,[64],161.2563819885254
0,0.0022709842,0.9881056,249.03023,1.3815806,0.006475912,32,3,0.0001,0.0,"[64, 32]",211.98379468917847
0,0.0021926456,2.2181754,901.68317,1.1995888,0.030307438,32,3,0.0001,0.0,"[64, 32, 16]",252.5907347202301
0,0.0050257333,3.6465507,18.425188,2.0012517,0.013510165,32,3,0.0001,0.0001,[64],189.84658765792847
0,0.0033073789,1.328941,6.8399897,4.1428695,0.031424135,32,3,0.0001,0.0001,"[64, 32]",193.97596263885498
0,0.10857569,10.953268,5.695624e-09,0.0009088534,0.10958312,32,3,0.0001,0.0001,"[64, 32, 16]",228.54723262786865
0,0.002800103,11.0977955,632.0922,0.0023130907,0.0030049284,32,6,0.0,0.0,[64],285.66480016708374
0,0.0021969785,10.975039,1266.765,0.0023130907,0.008848242,32,6,0.0,0.0,"[64, 32]",393.9802529811859
0,0.004349464,10.931668,451.3189,0.0023130907,0.025909796,32,6,0.0,0.0,"[64, 32, 16]",376.07935762405396
0,0.0057825013,2.6258233,13.120061,0.55712694,0.006859782,32,6,0.0,0.0001,[64],394.81289196014404
0,0.003060442,3.6113734,13.73557,1.1708263,0.0071116877,32,6,0.0,0.0001,"[64, 32]",393.1844091415405
0,0.016495522,10.996727,1.7861453,0.27237538,0.036077514,32,6,0.0,0.0001,"[64, 32, 16]",408.0213027000427
0,0.001388134,2.6465237,461.01407,0.5663721,0.0057218033,32,6,0.0001,0.0,[64],402.02763175964355
0,0.0037582736,7.7519045,725.4666,0.63246363,0.005145359,32,6,0.0001,0.0,"[64, 32]",386.4867079257965
0,0.0035963573,4.1030507,48.585064,1.1757435,0.02634892,32,6,0.0001,0.0,"[64, 32, 16]",397.5589392185211
0,0.005355428,4.625706,10.510496,0.6008947,0.011175059,32,6,0.0001,0.0001,[64],353.76141691207886
0,0.0030970024,1.6022377,4.03603,1.0341516,0.028398035,32,6,0.0001,0.0001,"[64, 32]",403.8270823955536
0,0.019158702,10.915422,2.6586266,0.3644971,0.037362903,32,6,0.0001,0.0001,"[64, 32, 16]",390.02943325042725
